pattern,match_type,business_category,nigp_class_3digit,nigp_item_5digit,nigp_match_level,notes
LEASE OF COPIER,contains,Equipment Rental & Leasing,985,98527,exact,
LEASED HIGH VOLUME,contains,Equipment Rental & Leasing,985,,broad,Production copier lease
LEASING OF AUTOMOBILES,contains,Equipment Rental & Leasing,975,97586,exact,
RENTAL AND PLACEMENT OF TRAFFIC CONTROL,contains,Equipment Rental & Leasing,975,97534,exact,Traffic control devices rental
RENTAL OF AUTOMOBILES,contains,Equipment Rental & Leasing,975,97586,exact,Vehicle rental
RENTAL OF HEAVY EQUIPMENT,contains,Equipment Rental & Leasing,975,,broad,"Heavy equipment rental contracts (loaders, excavators, etc.)"
RENTAL OF ITEMS FOR CITY FESTIVALS,contains,Equipment Rental & Leasing,855,,broad,Festival/event equipment rentals
RENTAL OF MOBILE OFFICE TRAILERS,contains,Equipment Rental & Leasing,975,,broad,
RENTAL OF TENTS,contains,Equipment Rental & Leasing,855,,broad,
AIR FILTERS,contains,Facilities Operations & Maintenance,031,,broad,HVAC filters
AIRPORT FACILITY,contains,Facilities Operations & Maintenance,909,,broad,
AIRPORT MAINTENANCE AND REPAIR,contains,Facilities Operations & Maintenance,909,,broad,
DOORS AND MOTORS:OVERHEAD,contains,Facilities Operations & Maintenance,450,,broad,
ELECTRICAL PRODUCTS AND SUPPLIES,contains,Facilities Operations & Maintenance,285,,broad,
"ELEVATORS, DUMBWAITERS",contains,Facilities Operations & Maintenance,,,broad,No elevator class in working set
"FENCING, GUARDRAIL",contains,Facilities Operations & Maintenance,,,broad,
FLAGPOLE,contains,Facilities Operations & Maintenance,350,,broad,
HVAC,contains,Facilities Operations & Maintenance,031,,broad,
LOCKSMITH SERVICES,contains,Facilities Operations & Maintenance,450,,broad,
PLUMBING SUPPLIES,contains,Facilities Operations & Maintenance,720,,broad,
PLYMOVENT EXHAUST,contains,Facilities Operations & Maintenance,031,,broad,Vehicle exhaust extraction in fire stations
PURCHASE OF NEW AND REPLACEMENT ELECTRIC MOTORS,contains,Facilities Operations & Maintenance,150,,broad,
PURCHASE OF PAINT,contains,Facilities Operations & Maintenance,,,broad,Building paint — no clean class
ROOFING,contains,Facilities Operations & Maintenance,,,broad,No roofing class in working set
SIGNAGE SYSTEMS FOR O'HARE,contains,Facilities Operations & Maintenance,801,,broad,Wayfinding/signage — facility hardware
TERRAZZO,contains,Facilities Operations & Maintenance,,,broad,
VARIOUS DOORS AND MOTORS,contains,Facilities Operations & Maintenance,450,,broad,
WARRANTY SERVICES FOR THE AIRPORT RESIDENTIAL SOUND INSULATION,contains,Facilities Operations & Maintenance,557,,broad,
"FURNITURE, ACCESSORIES",contains,Furniture & Furnishings,425,,broad,
VARIOUS FURNITURE,contains,Furniture & Furnishings,425,,broad,
HILTI TOOLS,contains,Heavy Equipment & Machinery,550,,broad,
"INDUSTRIAL EQUIPMENT, TOOLS, ATTACHMENTS",contains,Heavy Equipment & Machinery,550,,broad,
"MATERIAL HANDLING, SHELVING",contains,Heavy Equipment & Machinery,560,,broad,
OUTDOOR POWER EQUIPMENT,contains,Heavy Equipment & Machinery,550,,broad,
AUDIO VISUAL SYSTEMS,contains,"IT, Telecom & Audio/Visual",939,,broad,
CELLULAR BASED WIRELESS,contains,"IT, Telecom & Audio/Visual",725,,broad,
COMDIAL/VERTICAL TIER 1 DEALER TELEPHONE,contains,"IT, Telecom & Audio/Visual",725,,broad,
INFORMATION TECHNOLOGY INFRASTRUCTURE,contains,"IT, Telecom & Audio/Visual",920,,broad,
ISSOCCS,contains,"IT, Telecom & Audio/Visual",920,,broad,Integrated safety/security/operations command system at airports
MULTI-FUNCTION DEVICES,contains,"IT, Telecom & Audio/Visual",984,,broad,MFDs/printers
Printers and copiers,contains,"IT, Telecom & Audio/Visual",984,,broad,
TELECOMMUNICATION SERVICE,contains,"IT, Telecom & Audio/Visual",920,,broad,
"Telecommunications, internet",contains,"IT, Telecom & Audio/Visual",920,,broad,
WIRELESS COMMUNICATION EQUIPMENT,contains,"IT, Telecom & Audio/Visual",725,,broad,
CUSTODIAL SERVICES,contains,"Janitorial, Sanitation & Waste",485,,broad,
DISPOSAL SERVICES,contains,"Janitorial, Sanitation & Waste",968,,broad,
HAULING OF SEWER DEBRIS,contains,"Janitorial, Sanitation & Waste",968,,broad,
JANITORIAL,contains,"Janitorial, Sanitation & Waste",485,,broad,
PORTABLE CHEMICAL TOILETS,contains,"Janitorial, Sanitation & Waste",977,,broad,Portable toilet rental + servicing
STEEL DUMPSTERS,contains,"Janitorial, Sanitation & Waste",968,96871,exact,
WASTE DISPOSAL,contains,"Janitorial, Sanitation & Waste",968,,broad,
AIRSIDE SNOW REMOVAL,contains,"Landscaping, Grounds & Irrigation",,,broad,
COMPREHENSIVE LANDSCAPE,contains,"Landscaping, Grounds & Irrigation",988,,broad,
INTEGRATED PEST MANAGEMENT,contains,"Landscaping, Grounds & Irrigation",910,,broad,
LANDSCAPE SERVICES,contains,"Landscaping, Grounds & Irrigation",988,,broad,
SNOW PLOWING,contains,"Landscaping, Grounds & Irrigation",,,broad,No snow-services class in working set
COMPREHENSIVE MEDICAL/PHYSICAL EXAMS,contains,Medical & Health Services,948,,broad,
"INDUSTRIAL, MEDICAL & PROPANE GAS",contains,Medical & Health Services,430,,broad,
TEMPORARY MEDICAL PERSONNEL,contains,Medical & Health Services,,,broad,Locum/temp medical staffing
DEMOLITION NOTICE DEFAULT PUBLICATION,contains,"Office, Print & Marketing",915,,broad,Legal-notice publication
LIBRARY MATERIALS,contains,"Office, Print & Marketing",,,broad,Books/audiobooks — no library-materials class in working set
OFFICE SUPPLIES,contains,"Office, Print & Marketing",310,,broad,
PROMOTIONAL WEARABLES,contains,"Office, Print & Marketing",037,,broad,
Promotional Wearables,contains,"Office, Print & Marketing",037,,broad,
AVIATION PLANNING CONSULTING,contains,Professional & Administrative Services,,,broad,
COURT REPORTING,contains,Professional & Administrative Services,,,review,
FOREIGN LANGUAGE INTERPRETATION,contains,Professional & Administrative Services,,,broad,
LEAD TUNNEL DESIGN AND ENGINEERING,contains,Professional & Administrative Services,,,broad,
Municipal Electricity Supply,contains,Professional & Administrative Services,,,review,Electricity supply contract
OUTSIDE COUNSEL,contains,Professional & Administrative Services,,,review,Legal services — no NIGP class in working set; consider broader class
PROFESSIONAL ENVIRONMENTAL ASSESSMENT,contains,Professional & Administrative Services,,,broad,
PROGRAM FINANCE SERVICES,contains,Professional & Administrative Services,958,,broad,
PROGRAM MANAGEMENT CONSULTANT,contains,Professional & Administrative Services,958,,broad,
PROGRAM MANAGEMENT SERVICES FOR O'HARE,contains,Professional & Administrative Services,958,,broad,
PROPERTY MANAGEMENT AND EVENT SUPPORT,contains,Professional & Administrative Services,958,,broad,
QUALITY ASSURANCE AND MATERIALS TESTING,contains,Professional & Administrative Services,992,,broad,
QUALITY CONTROL AND QUALITY ASSURANCE CONSTRUCTION INSPECTION,contains,Professional & Administrative Services,,,broad,
RECORDS STORAGE,contains,Professional & Administrative Services,962,,broad,
STAFFING FOR MIGRANT,contains,Professional & Administrative Services,,,review,Staffing services
Security Services,contains,Professional & Administrative Services,964,,broad,
Small Business Improvement Fund,contains,Professional & Administrative Services,,,review,Grant/financing program — not a commodity
TITLE SERVICES FOR PROPERTY,contains,Professional & Administrative Services,,,review,Real-estate title work
UNARMED SECURITY AND SCREENING,contains,Professional & Administrative Services,964,,broad,
UNARMED SECURITY GUARD,contains,Professional & Administrative Services,964,96400,exact,
EMERGENCY MEDICAL EQUIPMENT,contains,"Public Safety, Uniforms & PPE",465,,broad,EMS equipment — life-safety
FIRE EXTINGUISHER SERVICES,contains,"Public Safety, Uniforms & PPE",936,,broad,
FIRE SUPPRESSION,contains,"Public Safety, Uniforms & PPE",936,,broad,
"INSPECTION AND CERTIFICATION SERVICES, FIRE EXTINGUISHER",contains,"Public Safety, Uniforms & PPE",936,,broad,
RESCUE EQUIPMENT SUPPLIES,contains,"Public Safety, Uniforms & PPE",200,,broad,
SAFETY AND TECHNICAL RESCUE EQUIPMENT,contains,"Public Safety, Uniforms & PPE",200,,broad,
UNIFORMS AND COMMISSARY,contains,"Public Safety, Uniforms & PPE",200,,broad,
VARIOUS WORK AND BUSINESS UNIFORMS,contains,"Public Safety, Uniforms & PPE",200,,broad,
6 X 4 DIESEL POWERED CONVENTIONAL CAB,contains,Vehicles & Fleet,070,,broad,
BIO-DIESEL,contains,Vehicles & Fleet,405,,broad,
BODY REPAIRS FOR CITY-OWNED AUTOMOBILES,contains,Vehicles & Fleet,928,,broad,
E-10 & E-85 ETHANOL,contains,Vehicles & Fleet,405,,broad,
FUEL SUPPLY,contains,Vehicles & Fleet,405,,broad,Bulk fuel contracts
GASOLINE,contains,Vehicles & Fleet,405,,broad,
JET FUEL,contains,Vehicles & Fleet,405,,broad,Aviation fuel
"MAINTENANCE, REPAIR AND UPFIT FOR CITY-OWNED VEHICLES",contains,Vehicles & Fleet,928,,broad,
PARTS AND REPAIR SERVICES - MECHANICAL,contains,Vehicles & Fleet,928,,broad,City fleet repair — vehicle body/mech work
PICK-UP TRUCKS,contains,Vehicles & Fleet,070,,broad,
POLICE PURSUIT,contains,Vehicles & Fleet,071,,broad,
REPAIR OF SPRINGS AND SUSPENSION,contains,Vehicles & Fleet,060,,broad,
RESPONSE VEHICLES,contains,Vehicles & Fleet,071,,broad,Police/emergency vehicles
TOWING SERVICES,contains,Vehicles & Fleet,928,,broad,
ULTRA LOW SULFUR DIESEL,contains,Vehicles & Fleet,405,,broad,
VEHICLE & EQUIPMENT PARTS,contains,Vehicles & Fleet,060,,broad,
MARKETING SERVICES,contains,"Office, Print & Marketing",915,,broad,Marketing/PR services — added 2026-05-06 to close plain-English gap
MEDIA SERVICES,contains,"Office, Print & Marketing",915,,broad,Media placement/buy services — added 2026-05-06
PUBLIC RELATIONS,contains,"Office, Print & Marketing",915,,broad,PR consulting and services — added 2026-05-06
ADVERTISING,contains,"Office, Print & Marketing",915,,broad,Advertising services (generalizes existing exact-match rule)
MARKETING CAMPAIGN,contains,"Office, Print & Marketing",915,,broad,Marketing campaign execution — added 2026-05-06
ADVERTISING SERVICES,exact,"Office, Print & Marketing",915,,broad,Hand-curated override — added 2026-05-06
CYBERSECURITY,starts_with,"IT, Telecom & Audio/Visual",920,,broad,Fires before generic Security Services contains rule — added 2026-05-06
ELEVATOR,contains,Facilities Operations & Maintenance,,,broad,Elevator maintenance/service — added 2026-05-06
BOILER,contains,Facilities Operations & Maintenance,031,,broad,Boiler service/repair — added 2026-05-06
PLUMBING,contains,Facilities Operations & Maintenance,,,broad,Plumbing services — added 2026-05-06
PEST CONTROL,contains,Facilities Operations & Maintenance,,,broad,Pest control services — added 2026-05-06
LOCKSMITH,contains,Facilities Operations & Maintenance,,,broad,Locksmith services — added 2026-05-06
POLICE UNIFORM,contains,"Public Safety, Uniforms & PPE",,,broad,Police uniforms — added 2026-05-06
BALLISTIC VEST,contains,"Public Safety, Uniforms & PPE",,,broad,Ballistic vests — added 2026-05-06
TACTICAL GEAR,contains,"Public Safety, Uniforms & PPE",,,broad,Tactical gear — added 2026-05-06
RESPIRATOR,contains,"Public Safety, Uniforms & PPE",,,broad,Respirators — added 2026-05-06
PPE,contains,"Public Safety, Uniforms & PPE",,,broad,Personal protective equipment — added 2026-05-06
SAFETY GLASSES,contains,"Public Safety, Uniforms & PPE",,,broad,Safety glasses — added 2026-05-06
ASPHALT,contains,Construction Materials,745,,broad,Asphalt — added 2026-05-06
CONCRETE,contains,Construction Materials,745,,broad,Concrete — added 2026-05-06
REBAR,contains,Construction Materials,,,broad,Rebar — added 2026-05-06
LUMBER,contains,Construction Materials,,,broad,Lumber — added 2026-05-06
AGGREGATE,contains,Construction Materials,,,broad,Aggregate — added 2026-05-06
GRAVEL,contains,Construction Materials,,,broad,Gravel — added 2026-05-06
TIRES,contains,Vehicles & Fleet,060,,broad,Tires — added 2026-05-06
VEHICLE PARTS,contains,Vehicles & Fleet,060,,broad,Vehicle parts — added 2026-05-06
AUTO REPAIR,contains,Vehicles & Fleet,,,broad,Auto repair services — added 2026-05-06
DIESEL FUEL,contains,Vehicles & Fleet,405,,broad,Diesel fuel — added 2026-05-06
CONSULTING SERVICES,contains,Professional & Administrative Services,,,broad,Consulting services — added 2026-05-06
LEGAL SERVICES,contains,Professional & Administrative Services,961,,broad,Legal services — added 2026-05-06
TRAINING SERVICES,contains,Professional & Administrative Services,,,broad,Training services — added 2026-05-06
BACKGROUND CHECK,contains,Professional & Administrative Services,,,broad,Background check services — added 2026-05-06
AUDITING SERVICES,contains,Professional & Administrative Services,946,,broad,Auditing services — added 2026-05-06
ACCOUNTING SERVICES,contains,Professional & Administrative Services,946,,broad,Accounting services — added 2026-05-06
PRINTING SERVICES,contains,"Office, Print & Marketing",966,,broad,Printing services — added 2026-05-06
GRAPHIC DESIGN,contains,"Office, Print & Marketing",,,broad,Graphic design services — added 2026-05-06
HEAVY EQUIPMENT RENTAL,contains,Equipment Rental & Leasing,975,,broad,Reverse-order mirror of RENTAL OF HEAVY EQUIPMENT — added 2026-05-11 (must precede EQUIPMENT RENTAL)
EQUIPMENT RENTAL,contains,Equipment Rental & Leasing,985,,broad,Equipment rental — added 2026-05-06
SCAFFOLD RENTAL,contains,Equipment Rental & Leasing,985,,broad,Scaffold rental — added 2026-05-06
GENERATOR RENTAL,contains,Equipment Rental & Leasing,985,,broad,Generator rental — added 2026-05-06
LIFT RENTAL,contains,Equipment Rental & Leasing,985,,broad,Lift rental — added 2026-05-06
TRASH COLLECTION,contains,"Janitorial, Sanitation & Waste",,,broad,Trash collection — added 2026-05-06
WASTE DISPOSAL,contains,"Janitorial, Sanitation & Waste",,,broad,Waste disposal — added 2026-05-06
DUMPSTER,contains,"Janitorial, Sanitation & Waste",,,broad,Dumpster services — added 2026-05-06
CLEANING SUPPLIES,contains,"Janitorial, Sanitation & Waste",,,broad,Cleaning supplies — added 2026-05-06
BULLDOZER,contains,Heavy Equipment & Machinery,,,broad,Bulldozer — added 2026-05-06
BACKHOE,contains,Heavy Equipment & Machinery,,,broad,Backhoe — added 2026-05-06
EXCAVATOR,contains,Heavy Equipment & Machinery,,,broad,Excavator — added 2026-05-06
SKID STEER,contains,Heavy Equipment & Machinery,,,broad,Skid steer loader — added 2026-05-06
IT SERVICES,contains,"IT, Telecom & Audio/Visual",,,broad,IT services — added 2026-05-06
SOFTWARE LICENSE,contains,"IT, Telecom & Audio/Visual",208,,broad,Software license — added 2026-05-06
COMPUTER HARDWARE,contains,"IT, Telecom & Audio/Visual",,,broad,Computer hardware — added 2026-05-06
TELEPHONE SERVICE,contains,"IT, Telecom & Audio/Visual",725,,broad,Telephone service — added 2026-05-06
LAPTOP,contains,"IT, Telecom & Audio/Visual",,,broad,Laptops — added 2026-05-06
LANDSCAPING,contains,"Landscaping, Grounds & Irrigation",988,,broad,Landscaping — added 2026-05-06
TREE TRIMMING,contains,"Landscaping, Grounds & Irrigation",988,,broad,Tree trimming — added 2026-05-06
LAWN CARE,contains,"Landscaping, Grounds & Irrigation",988,,broad,Lawn care — added 2026-05-06
IRRIGATION,contains,"Landscaping, Grounds & Irrigation",988,,broad,Irrigation — added 2026-05-06
WATER TREATMENT,contains,Chemicals & Water Treatment,390,,broad,Water treatment — added 2026-05-06
CHLORINE,contains,Chemicals & Water Treatment,390,,broad,Chlorine — added 2026-05-06
DEICER,contains,Chemicals & Water Treatment,,,broad,Deicer — added 2026-05-06
MEDICAL SUPPLIES,contains,Medical & Health Services,,,broad,Medical supplies — added 2026-05-06
NURSING SERVICES,contains,Medical & Health Services,,,broad,Nursing services — added 2026-05-06
CLINICAL LAB,contains,Medical & Health Services,,,broad,Clinical lab services — added 2026-05-06
ANIMAL FEED,contains,Animal Care & Veterinary,,,broad,Animal feed — added 2026-05-06
OFFICE FURNITURE,contains,Furniture & Furnishings,,,broad,Office furniture — added 2026-05-06
OFFICE CHAIR,contains,Furniture & Furnishings,,,broad,Office chairs — added 2026-05-06
CONFERENCE ROOM DESK,contains,Furniture & Furnishings,,,broad,Conference room desks — added 2026-05-06
ELECTRICAL WORK,contains,Construction & Trades Services,,,broad,Electrical work — added 2026-05-06
CARPENTRY,contains,Construction & Trades Services,,,broad,Carpentry — added 2026-05-06
GENERAL CONTRACTOR,contains,Construction & Trades Services,,,broad,General contractor — added 2026-05-06
SUBGRANT,contains,Grants & Pass-Through Funding,,,broad,Subgrant — added 2026-05-06
COMMUNITY-BASED ORGANIZATION,contains,Grants & Pass-Through Funding,,,broad,Community-based organization grant — added 2026-05-06
RENTAL EQUIPMENT,contains,Equipment Rental & Leasing,985,,broad,Reverse-order mirror of EQUIPMENT RENTAL — added 2026-05-11
VEHICLE RENTAL,contains,Equipment Rental & Leasing,975,,broad,Reverse-order mirror of RENTAL OF AUTOMOBILES — added 2026-05-11
AUTOMOBILE RENTAL,contains,Equipment Rental & Leasing,975,,broad,Reverse-order mirror of RENTAL OF AUTOMOBILES — added 2026-05-11
CAR RENTAL,contains,Equipment Rental & Leasing,975,,broad,Reverse-order mirror of RENTAL OF AUTOMOBILES — added 2026-05-11
AUTOMOBILE LEASING,contains,Equipment Rental & Leasing,975,,broad,Reverse-order mirror of LEASING OF AUTOMOBILES — added 2026-05-11
TENT RENTAL,contains,Equipment Rental & Leasing,855,,broad,Reverse-order mirror of RENTAL OF TENTS — added 2026-05-11
COPIER LEASE,contains,Equipment Rental & Leasing,985,,broad,Reverse-order mirror of LEASE OF COPIER — added 2026-05-11
